成语,拼音,翻译,
恰到好处,qià dào hǎo chù, it's just perfect,
想方设法,xiǎng fāng shè fǎ, think up every possible method,
无动于衷,wú dòng yú zhōng, aloof,
无微不至,wú wēi bù zhì, in every possible way; meticulous,
无忧无虑,wú yōu wú lǜ, carefree and without worries,
无精打采,wú jīng dǎ cǎi, dispirited and downcast,
无理取闹,wú lǐ qǔ nào, make trouble without reason; be deliberately provocative,
无能为力,wú néng wéi lì, impotent,
日新月异,rì xīn yuè yì, daily renewal monthly change,
有条不紊,yǒu tiáo bù wěn, regular and thorough; methodically arranged,
朝气蓬勃,zhāo qì péng bó, vigorous full of youthful energy,
欣欣向荣,xīn xīn xiàng róng, flourishing,
津津有味,jīn jīn yǒu wèi, with gusto,
深情厚谊,shēn qíng hòu yì, deep friendship,
潜移默化,qián yí mò huà, imperceptible influence,
热泪盈眶,rè lèi yíng kuàng, eyes brimming with tears of excitement,
爱不释手,ài bù shì shǒu, to love something too much to part with it,
物美价廉,wù měi jià lián, good quality and cheap,
理所当然,lǐ suǒ dāng rán, as it should be by rights,
理直气壮,lǐ zhí qì zhuàng, in the right and self confident,
相辅相成,xiāng fǔ xiāng chéng, complement one another,
知足常乐,zhī zú cháng lè, satisfied with what one has,
礼尚往来,lǐ shàng wǎng lái, proper behaviours is based on reciprocity,
称心如意,chèn xīn rú yì, after one's heart; gratifying and satisfactory,
竭尽全力,jié jìn quán lì, spare no effort,
精打细算,jīng dǎ xì suàn, meticulous planning and careful accounting,
精益求精,jīng yì qiú jīng, perfect something that is already outstanding,
统筹兼顾,tǒng chóu jiān gù, overall plan taking into account all factors,
聚精会神,jù jīng huì shén, concentrate one's attention,
肆无忌惮,sì wú jì dàn, absolutely unrestrained,
自力更生,zì lì gēng shēng, regeneration through one's own effort,
苦尽甘来,kǔ jìn gān lái, bitterness finishes sweetness begins,
莫名其妙,mò míng qí miào, baffling; unable to speak out the subtleties within,
见义勇为,jiàn yì yǒng wéi, see what is right and act courageously,
见多识广,jiàn duō shì guǎng, experienced and knowledgeable,
迄今为止,qì jīn wéi zhǐ, so far,
迫不及待,pò bù jí dài, impatient,
锲而不舍,qiè ér bù shě, chip away at a task not abandon it,
难能可贵,nán néng kě guì, rare and precious,
风土人情,fēng tǔ rén qíng, local conditions and customs,
饱经沧桑,bǎo jīng cāng sāng, having lived through many changes,
齐心协力,qí xīn xié lì, work with common purpose,
层出不穷,céng chū bù qióng, more and more emerge,
无穷无尽,wú qióng wú jìn, endless,
络绎不绝,luò yì bù jué, continuously in an endless stream,
